orderID,productID,unitPrice,quantity,discount,customerID,employeeID,orderDate,productName,categoryID,discontinued,categoryName,companyName,country,firstName,lastName,title,revenue
10248,11,14.0,12,0.0,VINET,5,2024-07-04,Queso Cabrales,4,0,Dairy Products,Vins et alcools Chevalier,France,Steven,Buchanan,Sales Manager,168.0
10248,42,9.8,10,0.0,VINET,5,2024-07-04,Singaporean Hokkien Fried Mee,5,1,Grains/Cereals,Vins et alcools Chevalier,France,Steven,Buchanan,Sales Manager,98.0
10248,72,34.8,5,0.0,VINET,5,2024-07-04,Mozzarella di Giovanni,4,0,Dairy Products,Vins et alcools Chevalier,France,Steven,Buchanan,Sales Manager,174.0
10249,14,18.6,9,0.0,TOMSP,6,2024-07-05,Tofu,7,0,Produce,Toms Spezialitäten,Germany,Michael,Suyama,Sales Representative,167.4
10249,51,42.4,40,0.0,TOMSP,6,2024-07-05,Manjimup Dried Apples,7,0,Produce,Toms Spezialitäten,Germany,Michael,Suyama,Sales Representative,1696.0
10250,41,7.7,10,0.0,HANAR,4,2024-07-08,Jack's New England Clam Chowder,8,0,Seafood,Hanari Carnes,Brazil,Margaret,Peacock,Sales Representative,77.0
10250,51,42.4,35,0.15,HANAR,4,2024-07-08,Manjimup Dried Apples,7,0,Produce,Hanari Carnes,Brazil,Margaret,Peacock,Sales Representative,1261.3999999999999
10250,65,16.8,15,0.15,HANAR,4,2024-07-08,Louisiana Fiery Hot Pepper Sauce,2,0,Condiments,Hanari Carnes,Brazil,Margaret,Peacock,Sales Representative,214.2
10251,22,16.8,6,0.05,VICTE,3,2024-07-08,Gustaf's Knäckebröd,5,0,Grains/Cereals,Victuailles en stock,France,Janet,Leverling,Sales Representative,95.76
10251,57,15.6,15,0.05,VICTE,3,2024-07-08,Ravioli Angelo,5,0,Grains/Cereals,Victuailles en stock,France,Janet,Leverling,Sales Representative,222.29999999999998
10251,65,16.8,20,0.0,VICTE,3,2024-07-08,Louisiana Fiery Hot Pepper Sauce,2,0,Condiments,Victuailles en stock,France,Janet,Leverling,Sales Representative,336.0
10252,20,64.8,40,0.05,SUPRD,4,2024-07-09,Sir Rodney's Marmalade,3,0,Confections,Suprêmes délices,Belgium,Margaret,Peacock,Sales Representative,2462.4
10252,33,2.0,25,0.05,SUPRD,4,2024-07-09,Geitost,4,0,Dairy Products,Suprêmes délices,Belgium,Margaret,Peacock,Sales Representative,47.5
10252,60,27.2,40,0.0,SUPRD,4,2024-07-09,Camembert Pierrot,4,0,Dairy Products,Suprêmes délices,Belgium,Margaret,Peacock,Sales Representative,1088.0
10253,31,10.0,20,0.0,HANAR,3,2024-07-10,Gorgonzola Telino,4,0,Dairy Products,Hanari Carnes,Brazil,Janet,Leverling,Sales Representative,200.0
10253,39,14.4,42,0.0,HANAR,3,2024-07-10,Chartreuse verte,1,0,Beverages,Hanari Carnes,Brazil,Janet,Leverling,Sales Representative,604.8000000000001
10253,49,16.0,40,0.0,HANAR,3,2024-07-10,Maxilaku,3,0,Confections,Hanari Carnes,Brazil,Janet,Leverling,Sales Representative,640.0
10254,24,3.6,15,0.15,CHOPS,5,2024-07-11,Guaraná Fantástica,1,1,Beverages,Chop-suey Chinese,Switzerland,Steven,Buchanan,Sales Manager,45.9
10254,55,19.2,21,0.15,CHOPS,5,2024-07-11,Pâté chinois,6,0,Meat/Poultry,Chop-suey Chinese,Switzerland,Steven,Buchanan,Sales Manager,342.71999999999997
10254,74,8.0,21,0.0,CHOPS,5,2024-07-11,Longlife Tofu,7,0,Produce,Chop-suey Chinese,Switzerland,Steven,Buchanan,Sales Manager,168.0
10255,2,15.2,20,0.0,RICSU,9,2024-07-12,Chang,1,0,Beverages,Richter Supermarkt,Switzerland,Anne,Dodsworth,Sales Representative,304.0
10255,16,13.9,35,0.0,RICSU,9,2024-07-12,Pavlova,3,0,Confections,Richter Supermarkt,Switzerland,Anne,Dodsworth,Sales Representative,486.5
10255,36,15.2,25,0.0,RICSU,9,2024-07-12,Inlagd Sill,8,0,Seafood,Richter Supermarkt,Switzerland,Anne,Dodsworth,Sales Representative,380.0
10255,59,44.0,30,0.0,RICSU,9,2024-07-12,Raclette Courdavault,4,0,Dairy Products,Richter Supermarkt,Switzerland,Anne,Dodsworth,Sales Representative,1320.0
10256,53,26.2,15,0.0,WELLI,3,2024-07-15,Perth Pasties,6,1,Meat/Poultry,Wellington Importadora,Brazil,Janet,Leverling,Sales Representative,393.0
10256,77,10.4,12,0.0,WELLI,3,2024-07-15,Original Frankfurter grüne Soße,2,0,Condiments,Wellington Importadora,Brazil,Janet,Leverling,Sales Representative,124.80000000000001
10257,27,35.1,25,0.0,HILAA,4,2024-07-16,Schoggi Schokolade,3,0,Confections,HILARION-Abastos,Venezuela,Margaret,Peacock,Sales Representative,877.5
10257,39,14.4,6,0.0,HILAA,4,2024-07-16,Chartreuse verte,1,0,Beverages,HILARION-Abastos,Venezuela,Margaret,Peacock,Sales Representative,86.4
10257,77,10.4,15,0.0,HILAA,4,2024-07-16,Original Frankfurter grüne Soße,2,0,Condiments,HILARION-Abastos,Venezuela,Margaret,Peacock,Sales Representative,156.0
10258,2,15.2,50,0.2,ERNSH,1,2024-07-17,Chang,1,0,Beverages,Ernst Handel,Austria,Nancy,Davolio,Sales Representative,608.0
10258,5,17.0,65,0.2,ERNSH,1,2024-07-17,Chef Anton's Gumbo Mix,2,1,Condiments,Ernst Handel,Austria,Nancy,Davolio,Sales Representative,884.0
10258,32,25.6,6,0.2,ERNSH,1,2024-07-17,Mascarpone Fabioli,4,0,Dairy Products,Ernst Handel,Austria,Nancy,Davolio,Sales Representative,122.88000000000002
10259,21,8.0,10,0.0,CENTC,4,2024-07-18,Sir Rodney's Scones,3,0,Confections,Centro comercial Moctezuma,Mexico,Margaret,Peacock,Sales Representative,80.0
10259,37,20.8,1,0.0,CENTC,4,2024-07-18,Gravad lax,8,0,Seafood,Centro comercial Moctezuma,Mexico,Margaret,Peacock,Sales Representative,20.8
10260,41,7.7,16,0.25,OTTIK,4,2024-07-19,Jack's New England Clam Chowder,8,0,Seafood,Ottilies Käseladen,Germany,Margaret,Peacock,Sales Representative,92.4
10260,57,15.6,50,0.0,OTTIK,4,2024-07-19,Ravioli Angelo,5,0,Grains/Cereals,Ottilies Käseladen,Germany,Margaret,Peacock,Sales Representative,780.0
10260,62,39.4,15,0.25,OTTIK,4,2024-07-19,Tarte au sucre,3,0,Confections,Ottilies Käseladen,Germany,Margaret,Peacock,Sales Representative,443.25
10260,70,12.0,21,0.25,OTTIK,4,2024-07-19,Outback Lager,1,0,Beverages,Ottilies Käseladen,Germany,Margaret,Peacock,Sales Representative,189.0
10261,21,8.0,20,0.0,QUEDE,4,2024-07-19,Sir Rodney's Scones,3,0,Confections,Que Delícia,Brazil,Margaret,Peacock,Sales Representative,160.0
10261,35,14.4,20,0.0,QUEDE,4,2024-07-19,Steeleye Stout,1,0,Beverages,Que Delícia,Brazil,Margaret,Peacock,Sales Representative,288.0
10262,5,17.0,12,0.2,RATTC,8,2024-07-22,Chef Anton's Gumbo Mix,2,1,Condiments,Rattlesnake Canyon Grocery,USA,Laura,Callahan,Inside Sales Coordinator,163.20000000000002
10262,7,24.0,15,0.0,RATTC,8,2024-07-22,Uncle Bob's Organic Dried Pears,7,0,Produce,Rattlesnake Canyon Grocery,USA,Laura,Callahan,Inside Sales Coordinator,360.0
10262,56,30.4,2,0.0,RATTC,8,2024-07-22,Gnocchi di nonna Alice,5,0,Grains/Cereals,Rattlesnake Canyon Grocery,USA,Laura,Callahan,Inside Sales Coordinator,60.8
10263,16,13.9,60,0.25,ERNSH,9,2024-07-23,Pavlova,3,0,Confections,Ernst Handel,Austria,Anne,Dodsworth,Sales Representative,625.5
10263,24,3.6,28,0.0,ERNSH,9,2024-07-23,Guaraná Fantástica,1,1,Beverages,Ernst Handel,Austria,Anne,Dodsworth,Sales Representative,100.8
10263,30,20.7,60,0.25,ERNSH,9,2024-07-23,Nord-Ost Matjeshering,8,0,Seafood,Ernst Handel,Austria,Anne,Dodsworth,Sales Representative,931.5
10263,74,8.0,36,0.25,ERNSH,9,2024-07-23,Longlife Tofu,7,0,Produce,Ernst Handel,Austria,Anne,Dodsworth,Sales Representative,216.0
10264,2,15.2,35,0.0,FOLKO,6,2024-07-24,Chang,1,0,Beverages,Folk och fä HB,Sweden,Michael,Suyama,Sales Representative,532.0
10264,41,7.7,25,0.15,FOLKO,6,2024-07-24,Jack's New England Clam Chowder,8,0,Seafood,Folk och fä HB,Sweden,Michael,Suyama,Sales Representative,163.625
10265,17,31.2,30,0.0,BLONP,2,2024-07-25,Alice Mutton,6,1,Meat/Poultry,Blondesddsl père et fils,France,Andrew,Fuller,Vice President Sales,936.0
10265,70,12.0,20,0.0,BLONP,2,2024-07-25,Outback Lager,1,0,Beverages,Blondesddsl père et fils,France,Andrew,Fuller,Vice President Sales,240.0
10266,12,30.4,12,0.05,WARTH,3,2024-07-26,Queso Manchego La Pastora,4,0,Dairy Products,Wartian Herkku,Finland,Janet,Leverling,Sales Representative,346.55999999999995
10267,40,14.7,50,0.0,FRANK,4,2024-07-29,Boston Crab Meat,8,0,Seafood,Frankenversand,Germany,Margaret,Peacock,Sales Representative,735.0
10267,59,44.0,70,0.15,FRANK,4,2024-07-29,Raclette Courdavault,4,0,Dairy Products,Frankenversand,Germany,Margaret,Peacock,Sales Representative,2618.0
